# dept, course num, name, credits, year_odd_fall, year_even_fall, fall, spring, notes, prerequisites (space-separated designations), corequisites (space-separated designations)
CS, 111, Introduction to Programming, 4, True, True, True, False, , ,  
ED, 231, Schools and Society, 4, True, True, True, True,Satisfies the Social and Institutional Dimensions of Human Behavior LSC requirement., ,  
ED, 241, Literature for Children and Adolescents, 4, True, True, True, True, , ,  
ED, 251, Child Development in a Culturally .., 4, True, True, True, True, Can be concurrent with ED 231, , ED231  
ED, 271, Adolescent Development in a Culturally .., 4, True, True, False, True, Can be concurrent with ED 231 (with permission), ED231,   
ED, 300, Teaching Social Studies and the Arts, 4, True, True, True, True, This course satisfies the Global Issues LSC requirements., ED231,  
ED, 325, Teaching Elementary School Mathematics .., 4, True, True, True, False, Math may allow this to substitute for a math requirement on a case-by-case basis., ED251,  
ED, 335, Literacy in the Elementary Classroom, 4, True, True, True, True, , ED251,  
ED, 339, Making Meaning: Content Area Literacy, 4, True, True, True, True, , ED335,  
ED, 340, Teaching in Inclusive Elementary Classrooms, 4, True, True, True, True, , ED300 ED335,  
ED, 343, Literacy in Secondary Schools, 4, True, True, True, False, Can be concurrent with ED 361 or ED 370., ,  
ED, 357, Early Childhood Education: Investing .., 4, True, True, True, True, , ,  
ED, 361, Curriculum in Middle and High School, 4, True, True, True, False, , ,  
ED, 365, Approaches to Teaching the Humanities, 2, True, True, True, False, , ,  
ED, 367, Approaches to Teaching Math .., 2, True, True, True, False, You can substitute MA 381 for this., ,  
ED, 370, Teaching in an Inclusive Middle .., 4, True, True, True, False, , ,  
ED, 380, Topics in Education, 12, True, True, True, True, Meets the Global Issues LSC requirement., ,  
ED, 423, Practicum, 2, True, True, True, True, Math may allow this to substitute on a case-by-case basis. You can substitute MA 381 for this., ,  
ED, 424, Secondary School Teaching, 12, True, True, False, True, , ,  
ED, 427, Inquiry Science Practicum, 2, True, True, True, True, Math may allow this as a substitute for MA 410 is that course is precluded by student teaching., , ED251  
ED, 428, Student Teaching Seminar, 4, True, True, False, True, Satisfies the Experiential Learning requirement., , ED475  
ED, 430, Senior Seminar: Secondary Education, 4, True, True, False, True, , ,  
ED, 450, Advanced Topics in Education, 4, True, True, True, True, You can substitute MA 304 or MA 308 for this., ,  
ED, 475, Student Teaching Internship, 4, True, True, False, True, , , ED428  
LSC, 4, Liberal Studies full course, 4, True, True, True, True, , ,  
LSC, 2, Liberal Studies half course, 2, True, True, True, True, Fine Arts course, ,  
MA, 120, Elementary Statistics, 4, True, True, True, True, , , 
MA, 130, Elements of Calculus, 4, True, True, True, True, , , 
MA, 150, Scientific Calculus I, 4, True, True, True, True, , , 
MA, 160, Scientific Calculus II, 4, True, True, True, True, This course satisfies the Quantitative LSC requirement., MA150, 
MA, 207, Discrete Math, 4, True, True, True, False, , ,  
MA, 208, Theory of Computation, 4, True, True, False, True, , MA240,  
MA, 211, Scientific Calculus III, 4, True, True, True, True, This course satisfies the Quantitative Reasoning LSC requirement., MA160,  
MA, 213, Linear Algebra, 4, True, True, True, False, , MA160,  
MA, 217, Applied Graph Theory, 4, True, False, False, True, , MA150,  
MA, 240, Proofs, 4, True, True, False, True, , MA211,  
MA, 251, Probability and Statistics, 4, True, True, False, True, , MA160,  
MA, 303, Differential Equations, 4, True, True, False, True, , MA160,  
MA, 304, History of Mathematics, 4, False, True, True, False, , MA160,  
MA, 305, Scientific Computing, 4, True, False, False, True, , MA160,  
MA, 308, Geometries, 4, True, False, True, False, , MA240,  
MA, 315, Complex Analysis, 4, False, True, False, True, , MA211,  
MA, 351, Applied Regression Analysis, 4, True, False, True, False, , MA215,  
MA, 380, Topics, 2, True, True, True, False, The prerequisite may be higher than the listed MA150 for some topics., MA150,  
MA, 381, Math Education Seminar, 2, False, True, False, True, , MA150,  
MA, 401, Real Analysis I, 4, False, True, True, False, , MA240,  
MA, 403, Real Analysis II, 4, False, True, False, True, , MA401,  
MA, 406, Abstract Algebra I, 4, True, False, True, False, , MA240,  
MA, 407, Abstract Algebra II, 4, True, False, False, True, , MA406,  
MA, 410, Seminar in Mathematics, 2, True, True, False, True, , ,  
MA, 417, Applied Mathematics, 4, True, False, False, True, , MA211 MA213 MA303,  
MA, 451, Applied Statistical Methods, 4, False, True, True, False, , MA251,  
MA, 490, Readings in Mathematics, 2, True, True, True, True, , ,  
MA, 495, Honors Thesis, 4, True, True, True, True, , ,  
